Customer ID,Customer Name,Segment,Country,State,City,Postal Code,Region
CUST-00001,Kiran Reddy,Home Office,India,Delhi,Dwarka,877572,North
CUST-00002,Anita Iyer,Consumer,India,Goa,Panaji,542417,West
CUST-00003,Arun Menon,Small Business,India,Bihar,Gaya,781453,East
CUST-00004,Arun Gupta,Home Office,India,Bihar,Patna,543143,East
CUST-00005,Divya Iyer,Home Office,India,Andhra Pradesh,Guntur,201414,South
CUST-00006,Anita Mishra,Small Business,India,Rajasthan,Jaipur,230889,West
CUST-00007,Ashok Pillai,Consumer,India,Rajasthan,Udaipur,301629,West
CUST-00008,Karthik Rao,Home Office,India,Haryana,Gurugram,498591,North
CUST-00009,Pooja Menon,Consumer,India,Odisha,Bhubaneswar,379946,East
CUST-00010,Sneha Mishra,Corporate,India,Andhra Pradesh,Guntur,383060,South
CUST-00011,Anjali Sharma,Home Office,India,Kerala,Thiruvananthapuram,520651,South
CUST-00012,Ravi Verma,Small Business,India,Tamil Nadu,Salem,787277,South
CUST-00013,Suresh Nair,Home Office,India,Tamil Nadu,Madurai,881177,South
CUST-00014,POOJA RAO,Small Business,India,Haryana,Panchkula,634277,North
CUST-00015,Divya Nair,Small Business,India,West Bengal,Howrah,267753,East
CUST-00016,Manoj Patel,Consumer,India,Rajasthan,Jodhpur,112038,West
CUST-00017,KIRAN VERMA,Small Business,India,Haryana,Faridabad,407757,North
CUST-00018,Anita Patel,Corporate,India,Gujarat,Surat,898975,West
CUST-00019,Naveen Menon,Corporate,India,Uttar Pradesh,Lucknow,492077,North
CUST-00020,Arun Verma,Consumer,India,Gujarat,Ahmedabad,120422,West
CUST-00021,Meena Rao,Consumer,India,Punjab,Ludhiana,352572,North
CUST-00022,Vijay Nair,Small Business,India,Haryana,Panchkula,791798,North
CUST-00023,Lakshmi Das,Corporate,India,Tamil Nadu,Salem,665492,South
CUST-00024,  pooja mishra  ,Consumer,India,Gujarat,Vadodara,573417,West
CUST-00025,Neha Rao,Consumer,India,Goa,Panaji,330914,West
CUST-00026,Ashok Sharma,Corporate,India,Kerala,Kozhikode,174299,South
CUST-00027,Anita Joshi,Small Business,India,Tamil Nadu,Madurai,922733,South
CUST-00028,Kavya Pillai,Small Business,India,Maharashtra,Mumbai,531071,West
CUST-00029,Kiran Reddy,Home Office,India,Punjab,Ludhiana,522179,North
CUST-00030,Neha Mishra,Corporate,India,Haryana,Panchkula,542374,North
CUST-00031,Manoj Reddy,Consumer,India,Punjab,Ludhiana,783823,North
CUST-00032,Sneha Das,Corporate,India,Gujarat,Ahmedabad,604740,West
CUST-00033,Arun Chatterjee,Small Business,India,Karnataka,Bengaluru,922157,South
CUST-00034,Shalini Joshi,Home Office,India,Uttar Pradesh,Lucknow,299122,North
CUST-00035,Priya Verma,Small Business,India,Punjab,Ludhiana,152578,North
CUST-00036,Arjun Iyer,Consumer,India,Uttar Pradesh,Kanpur,171849,North
CUST-00037,Ashok Rao,Consumer,India,Goa,Panaji,723398,West
CUST-00038,Arjun Verma,Home Office,India,Karnataka,Bengaluru,314181,South
CUST-00039,,Consumer,India,Kerala,Thiruvananthapuram,888387,South
CUST-00040,Lakshmi Reddy,Corporate,India,Punjab,Amritsar,663750,North
CUST-00041,Karthik Rao,Corporate,India,Andhra Pradesh,Vijayawada,398830,South
CUST-00042,Shalini Kumar,Home Office,India,Odisha,Bhubaneswar,956795,East
CUST-00043,Suresh Reddy,Corporate,India,Haryana,Gurugram,878480,North
CUST-00044,Vikram Patel,Home Office,India,Gujarat,Surat,612262,West
CUST-00045,Kavya Patel,Home Office,India,Delhi,Rohini,103717,North
CUST-00046,Anita Mishra,Small Business,India,Rajasthan,Jodhpur,839945,West
CUST-00047,Ravi Nair,Home Office,India,Rajasthan,Jaipur,137778,West
CUST-00048,Meena Pillai,Corporate,India,Delhi,Rohini,475190,North
CUST-00049,Neha Das,Corporate,India,West Bengal,Kolkata,885884,East
CUST-00050,Shalini Gupta,Corporate,India,Telangana,Warangal,125990,South
CUST-00051,SHALINI RAO,Consumer,India,Karnataka,Mysuru,266931,South
CUST-00052,Deepa Rao,Small Business,India,Tamil Nadu,Chennai,956253,South
CUST-00053,Anjali Kumar,Small Business,India,Odisha,Bhubaneswar,302511,East
CUST-00054,Suresh Pillai,Small Business,India,West Bengal,Siliguri,634150,East
CUST-00055,Arun Reddy,Home Office,India,Karnataka,Bengaluru,287241,South
CUST-00056,Shalini Verma,Consumer,India,Maharashtra,Mumbai,735656,West
CUST-00057,Ravi Das,Corporate,India,Delhi,New Delhi,645175,North
CUST-00058,Rahul Verma,Consumer,India,Odisha,Bhubaneswar,989208,East
CUST-00059,Kavya Verma,Home Office,India,Telangana,Hyderabad,831076,South
CUST-00060,Sanjay Gupta,Home Office,India,West Bengal,Kolkata,696750,East
CUST-00061,Vikram Das,Home Office,India,Goa,Panaji,736130,West
CUST-00062,Deepa Gupta,Home Office,India,Odisha,Bhubaneswar,188914,East
CUST-00063,  naveen rao  ,Corporate,India,Odisha,Cuttack,425498,East
CUST-00064,Deepa Iyer,Corporate,India,Maharashtra,Nagpur,534572,West
CUST-00065,Rohan Kumar,Small Business,India,Haryana,Gurugram,916232,North
CUST-00066,Manoj Sharma,Consumer,India,Rajasthan,Jodhpur,361303,West
CUST-00067,Neha Verma,Small Business,India,Maharashtra,Pune,742412,West
CUST-00068,Anita Joshi,Corporate,India,Maharashtra,Pune,371782,West
CUST-00069,Deepa Rao,Consumer,India,Karnataka,Mysuru,561239,South
CUST-00070,Ashok Iyer,Corporate,India,Haryana,Panchkula,258157,North
CUST-00071,Kavya Das,Small Business,India,Kerala,Kozhikode,668969,South
CUST-00072,,Small Business,India,Rajasthan,Udaipur,498858,West
CUST-00073,Pooja Singh,Small Business,India,Andhra Pradesh,Guntur,994905,South
CUST-00074,ASHOK RAO,Home Office,India,Gujarat,Ahmedabad,330080,West
CUST-00075,Rahul Chatterjee,Small Business,India,Jharkhand,Ranchi,273061,East
CUST-00076,Radha Chatterjee,Consumer,India,Goa,Panaji,691807,West
CUST-00077,Sneha Sharma,Home Office,India,Karnataka,Bengaluru,497519,South
CUST-00078,Sanjay Patel,Consumer,India,Telangana,Warangal,364525,South
